date,equity,price,action
2026-01-01,10000.00,88839.04,
2026-01-02,10000.00,89995.13,
2026-01-03,10000.00,90628.01,
2026-01-04,10000.00,91529.73,
2026-01-05,10000.00,93859.71,
2026-01-06,10000.00,93747.97,
2026-01-07,10000.00,91364.16,
2026-01-08,10000.00,91099.99,
2026-01-09,10000.00,90641.28,
2026-01-10,10000.00,90504.70,
2026-01-11,10000.00,91013.65,
2026-01-12,10000.00,91296.20,
2026-01-13,10000.00,95414.00,
2026-01-14,10000.00,96951.78,
2026-01-15,10000.00,95604.80,
2026-01-16,10000.00,95550.94,
2026-01-17,10000.00,95147.77,
2026-01-18,10000.00,93673.14,
2026-01-19,10000.00,92631.00,
2026-01-20,10000.00,88427.66,
2026-01-21,10000.00,89454.73,
2026-01-22,10000.00,89559.67,
2026-01-23,10000.00,89600.26,
2026-01-24,10000.00,89225.34,
2026-01-25,10000.00,86670.36,
2026-01-26,10000.00,88347.08,
2026-01-27,10000.00,89250.00,
2026-01-28,10000.00,89299.99,
2026-01-29,10000.00,84650.16,
2026-01-30,10000.00,84260.49,
2026-01-31,10000.00,78741.09,
2026-02-01,10000.00,76968.21,
2026-02-02,10000.00,78738.61,
2026-02-03,10000.00,75770.21,
2026-02-04,10000.00,73165.83,
2026-02-05,9980.00,62909.86,buy
2026-02-06,11196.83,70580.26,
2026-02-07,10992.05,69289.38,
2026-02-08,11157.19,70330.38,
2026-02-09,11126.67,70138.00,
2026-02-10,10920.96,68841.29,
2026-02-11,10641.95,67082.52,
2026-02-12,10513.40,66272.17,
2026-02-13,10922.97,68853.96,
2026-02-14,11076.69,69822.95,
2026-02-15,10919.58,68832.58,
2026-02-16,10929.07,68892.43,
2026-02-17,10708.74,67503.52,
2026-02-18,10543.35,66461.00,
2026-02-19,10629.45,67003.73,
2026-02-20,10790.67,68020.01,
2026-02-21,10772.90,67975.93,sell
2026-02-22,10772.90,67643.40,
2026-02-23,10772.90,64656.02,
2026-02-24,10772.90,64058.15,
2026-02-25,10772.90,67988.04,
2026-02-26,10772.90,67485.18,
2026-02-27,10772.90,65872.10,
2026-02-28,10772.90,66973.26,
2026-03-01,10772.90,65776.47,
2026-03-02,10772.90,68830.06,
2026-03-03,10772.90,68338.00,
2026-03-04,10772.90,72666.77,
2026-03-05,10772.90,70890.72,
2026-03-06,10772.90,68114.02,
2026-03-07,10772.90,67262.91,
2026-03-08,10772.90,65971.20,
2026-03-09,10772.90,68432.16,
2026-03-10,10772.90,69948.63,
2026-03-11,10772.90,70191.86,
2026-03-12,10772.90,70541.34,
2026-03-13,10772.90,70930.00,
2026-03-14,10772.90,71211.95,
2026-03-15,10772.90,72815.24,
2026-03-16,10772.90,74884.67,
2026-03-17,10772.90,73909.36,
2026-03-18,10772.90,71246.54,
2026-03-19,10772.90,69930.00,
2026-03-20,10772.90,70510.73,
2026-03-21,10772.90,68918.12,
2026-03-22,10772.90,67859.00,
2026-03-23,10772.90,70906.45,
2026-03-24,10772.90,70556.74,
2026-03-25,10772.90,71336.53,
2026-03-26,10772.90,68820.31,
2026-03-27,10772.90,66407.28,
2026-03-28,10772.90,66377.03,
2026-03-29,10772.90,66010.93,
2026-03-30,10772.90,66797.37,
2026-03-31,10772.90,68284.48,
2026-04-01,10772.90,68113.92,
2026-04-02,10772.90,66901.99,
2026-04-03,10772.90,66964.30,
2026-04-04,10772.90,67300.42,
2026-04-05,10772.90,69034.18,
2026-04-06,10772.90,68853.66,
2026-04-07,10772.90,71924.22,
2026-04-08,10772.90,71069.93,
2026-04-09,10772.90,71787.97,
2026-04-10,10772.90,72962.70,
2026-04-11,10772.90,73043.16,
2026-04-12,10772.90,70740.98,
2026-04-13,10772.90,74417.99,
2026-04-14,10772.90,74131.55,
2026-04-15,10772.90,74809.99,
2026-04-16,10772.90,75154.29,
2026-04-17,10772.90,77072.00,
2026-04-18,10772.90,75691.76,
2026-04-19,10772.90,73801.79,
2026-04-20,10772.90,75840.97,
2026-04-21,10772.90,76336.15,
2026-04-22,10772.90,78178.23,
2026-04-23,10772.90,78257.48,
2026-04-24,10772.90,77437.13,
2026-04-25,10772.90,77625.00,
2026-04-26,10772.90,78657.55,
2026-04-27,10772.90,77371.32,
2026-04-28,10772.90,76342.77,
2026-04-29,10772.90,75780.00,
2026-04-30,10772.90,76346.57,
2026-05-01,10772.90,78231.13,
2026-05-02,10772.90,78686.85,
2026-05-03,10772.90,78568.57,
2026-05-04,10772.90,79861.01,
2026-05-05,10772.90,80905.52,
2026-05-06,10772.90,81447.01,
2026-05-07,10772.90,80006.00,
2026-05-08,10772.90,80193.17,
2026-05-09,10772.90,80678.40,
2026-05-10,10772.90,82210.07,
2026-05-11,10772.90,81745.65,
2026-05-12,10772.90,80504.47,
2026-05-13,10772.90,79313.61,
2026-05-14,10772.90,81089.99,
2026-05-15,10772.90,79113.21,
2026-05-16,10772.90,78148.05,
